split,seed,strategy,lang,S,D,I,N,records,WER,label
TEST,101,A_Text,ar,1807,136,64,8007,428,25.065567628325216,POST_REVIEW_DIAGNOSTIC
TEST,101,A_Text+Global,ar,1806,135,64,8007,428,25.040589484201323,POST_REVIEW_DIAGNOSTIC
TEST,101,B_Conf,ar,1882,135,69,8007,428,26.052204321218934,POST_REVIEW_DIAGNOSTIC
TEST,101,B_Global,ar,1878,133,69,8007,428,25.97726988884726,POST_REVIEW_DIAGNOSTIC
TEST,101,B_Text,ar,1777,122,65,8007,428,24.528537529661545,POST_REVIEW_DIAGNOSTIC
TEST,101,B_Text+Global,ar,1777,122,65,8007,428,24.528537529661545,POST_REVIEW_DIAGNOSTIC
TEST,101,Conf,fa,5020,741,583,20113,871,31.54178889275593,EXACT_REUSE
TEST,101,Global,fa,5015,744,579,20113,871,31.511957440461394,EXACT_REUSE
TEST,101,Text,fa,4797,746,562,20113,871,30.35350270969025,EXACT_REUSE
TEST,101,Text+Global,fa,4801,747,563,20113,871,30.383334161984784,EXACT_REUSE
TEST,101,ConfDupClean,fa,5020,741,583,20113,871,31.54178889275593,POST_REVIEW_DIAGNOSTIC
TEST,101,ConfPerm,fa,5016,744,579,20113,871,31.51692934917715,POST_REVIEW_DIAGNOSTIC
TEST,101,A_Conf,fa,5023,753,577,20113,871,31.586536071197735,POST_REVIEW_DIAGNOSTIC
TEST,101,A_Global,fa,5019,760,573,20113,871,31.58156416248198,POST_REVIEW_DIAGNOSTIC
TEST,101,A_Text,fa,4824,749,564,20113,871,30.51260378859444,POST_REVIEW_DIAGNOSTIC
TEST,101,A_Text+Global,fa,4813,746,563,20113,871,30.438025157858103,POST_REVIEW_DIAGNOSTIC
TEST,101,B_Conf,fa,5013,681,624,20113,871,31.412519266146273,POST_REVIEW_DIAGNOSTIC
TEST,101,B_Global,fa,5003,673,618,20113,871,31.29319345696813,POST_REVIEW_DIAGNOSTIC
TEST,101,B_Text,fa,4750,698,599,20113,871,30.0651320041764,POST_REVIEW_DIAGNOSTIC
TEST,101,B_Text+Global,fa,4751,695,597,20113,871,30.04524436931338,POST_REVIEW_DIAGNOSTIC
TEST,101,Conf,pl,1772,221,175,14380,758,15.076495132127956,EXACT_REUSE
TEST,101,Global,pl,1758,219,172,14380,758,14.944367176634215,EXACT_REUSE
TEST,101,Text,pl,1640,211,165,14380,758,14.019471488178025,EXACT_REUSE
TEST,101,Text+Global,pl,1643,212,162,14380,758,14.026425591098748,EXACT_REUSE
TEST,101,ConfDupClean,pl,1772,221,175,14380,758,15.076495132127956,POST_REVIEW_DIAGNOSTIC
TEST,101,ConfPerm,pl,1757,219,172,14380,758,14.937413073713492,POST_REVIEW_DIAGNOSTIC
TEST,101,A_Conf,pl,1782,226,169,14380,758,15.139082058414465,POST_REVIEW_DIAGNOSTIC
TEST,101,A_Global,pl,1752,229,166,14380,758,14.930458970792767,POST_REVIEW_DIAGNOSTIC
TEST,101,A_Text,pl,1657,214,162,14380,758,14.13769123783032,POST_REVIEW_DIAGNOSTIC
TEST,101,A_Text+Global,pl,1655,213,162,14380,758,14.11682892906815,POST_REVIEW_DIAGNOSTIC
TEST,101,B_Conf,pl,1770,206,205,14380,758,15.166898470097358,POST_REVIEW_DIAGNOSTIC
TEST,101,B_Global,pl,1748,202,202,14380,758,14.965229485396383,POST_REVIEW_DIAGNOSTIC
TEST,101,B_Text,pl,1612,190,179,14380,758,13.776077885952713,POST_REVIEW_DIAGNOSTIC
TEST,101,B_Text+Global,pl,1617,186,181,14380,758,13.796940194714882,POST_REVIEW_DIAGNOSTIC
TEST,101,Conf,tr,1414,157,133,12963,743,13.145105299699143,EXACT_REUSE
TEST,101,Global,tr,1401,160,129,12963,743,13.037105608269691,EXACT_REUSE
TEST,101,Text,tr,1272,149,122,12963,743,11.903108848260434,EXACT_REUSE
